id,desktop_inventory_element,element,location,model,desktop_inventory,serial,quantity,millicom_code,is_asset,element_type_asset,element_category_asset,comments,desktop_inventory_process_result_detail,check_field_service_login,check_field_service_date,check_inventory_responsible_login,check_inventory_responsible_date,internal_location_id,missing_element_created_for_partial_diff
29155,NULL,266560,CUN0052,1000662,1815,KNR/R9144856,1,A05G168419,Y,20,53,,179829,NULL,NULL,NULL,NULL,NULL,0
29157,NULL,344106,CUN0052,1002011,1815,A05G168425,1,A05G168425,Y,11,53,,179831,NULL,NULL,NULL,NULL,NULL,0
29158,NULL,344107,CUN0052,1002011,1815,A05G168426,1,A05G168426,Y,11,53,,179832,NULL,NULL,NULL,NULL,NULL,0
29159,NULL,344108,CUN0052,1002011,1815,A05G168427,1,A05G168427,Y,11,53,,179833,NULL,NULL,NULL,NULL,NULL,0
29160,NULL,344109,CUN0052,1002011,1815,A05G168428,1,A05G168428,Y,11,53,,179834,NULL,NULL,NULL,NULL,NULL,0
29161,NULL,344110,CUN0052,1002011,1815,A05G168429,1,A05G168429,Y,11,53,,179835,NULL,NULL,NULL,NULL,NULL,0
29162,NULL,344111,CUN0052,1002011,1815,A05G168430,1,A05G168430,Y,11,53,,179836,NULL,NULL,NULL,NULL,NULL,0
29163,NULL,344112,CUN0052,1002011,1815,A05G168431,1,A05G168431,Y,11,53,,179837,NULL,NULL,NULL,NULL,NULL,0
29164,NULL,344113,CUN0052,1002011,1815,A05G168432,1,A05G168432,Y,11,53,,179838,NULL,NULL,NULL,NULL,NULL,0
29165,NULL,266561,CUN0052,1002099,1815,KNR/R8142797,1,A05G168433,Y,20,53,,179839,NULL,NULL,NULL,NULL,NULL,0
29166,NULL,266562,CUN0052,1000662,1815,KNR/R9144615,1,A05G168420,Y,20,53,,179840,NULL,NULL,NULL,NULL,NULL,0
29167,NULL,377442,CUN0052,1001149,1815,210231593410A4000034,1,A05T119823,Y,222,62,,179841,NULL,NULL,NULL,NULL,NULL,0
29168,NULL,274576,CUN0052,1002041,1815,A05T113842,1,A05T113842,Y,11,62,,179842,NULL,NULL,NULL,NULL,NULL,0
