id,element_model_plu
1076,1000146
1077,1000146
1078,1000146
1079,1000146
1080,1000146
1230,1000146
1231,1000146
1232,1000146
1233,1000146
1234,1000146
1235,1000146
1236,1000146
1237,1000146
1238,1000146
1239,1000146
1240,1000146
1241,1000146
1242,1000146
1243,1000146
1244,1000146
1245,1000146
1246,1000146
1265,1000146
1266,1000146
1267,1000146
1268,1000146
1269,1000146
1270,1000146
1292,1000146
1293,1000146
1294,1000146
1295,1000146
1296,1000146
1297,1000146
1298,1000146
1299,1000146
1300,1000146
1301,1000146
1302,1000146
1303,1000146
1304,1000146
1305,1000146
1306,1000146
1307,1000146
1308,1000146
1309,1000146
1310,1000146
1324,1000146
1325,1000146
1335,1000146
1336,1000146
1339,1000146
1340,1000146
1341,1000146
1342,1000146
1343,1000146
1344,1000146
1345,1000146
1346,1000146
1347,1000146
1348,1000146
1349,1000146
1350,1000146
1351,1000146
1352,1000146
1369,1000146
1371,1000146
1372,1000146
1373,1000146
1374,1000146
1375,1000146
1376,1000146
1377,1000146
1378,1000146
1379,1000146
1380,1000146
1381,1000146
1382,1000146
1383,1000146
1384,1000146
1385,1000146
1386,1000146
1387,1000146
1388,1000146
1389,1000146
1565,1000146
1566,1000146
1567,1000146
1568,1000146
1569,1000146
1570,1000146
1571,1000146
1572,1000146
1573,1000146
1574,1000146
1575,1000146
1576,1000146
1577,1000146
1582,1000146
1625,1000146
1626,1000146
1672,1000146
1673,1000146
1674,1000146
1675,1000146
1678,1000146
1701,1000146
1702,1000146
1703,1000146
1704,1000146
1705,1000146
1706,1000146
1707,1000146
1708,1000146
1709,1000146
2338,1000332
2339,1000332
2340,1000332
2341,1000332
2342,1000332
2343,1000332
2344,1000332
2345,1000332
2346,1000332
2347,1000332
2348,1000332
2349,1000332
2488,1000518
2489,1000518
2490,1000518
2491,1000518
2492,1000518
2493,1000518
2494,1000518
2495,1000518
2496,1000518
2497,1000518
2498,1000518
2499,1000518
2500,1000518
2501,1000518
2502,1000518
2503,1000518
2504,1000518
2505,1000518
2506,1000518
2507,1000518
2508,1000518
2509,1000518
2510,1000518
2511,1000518
2512,1000518
2513,1000518
2514,1000518
2515,1000518
2516,1000518
2517,1000518
2518,1000518
2519,1000518
2520,1000518
2521,1000518
2522,1000518
2523,1000518
2524,1000518
2602,1000628
2604,1000628
2605,1000629
2606,1000629
2610,1000657
2611,1000657
2612,1000657
2684,1000332
2685,1000332
2686,1000332
2687,1000332
2688,1000332
2689,1000332
2690,1000332
2691,1000332
2692,1000332
2693,1000332
2694,1000332
2695,1000332
2696,1000332
2697,1000332
2698,1000332
2699,1000332
2700,1000332
2701,1000332
2702,1000287
2703,1000523
2784,1000657
2785,1000657
2808,1000126
2851,1000506
2855,1000703
2863,1000575
2895,1000661
2913,1000146
2914,1000146
2915,1000146
2916,1000146
2917,1000146
2918,1000146
2919,1000146
2920,1000146
2921,1000146
2922,1000146
2923,1000146
2924,1000146
2979,1000146
2980,1000146
2981,1000661
2982,1000661
3116,1000092
3117,1000575
3120,1000624
3145,1000661
