id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
1423942,11359,1226731,1191612,OK,OK,NULL,NULL,"Element OK.",90
1423943,11359,1226722,1191613,OK,OK,NULL,NULL,"Element OK.",90
1423944,11359,1226727,1191614,OK,OK,NULL,NULL,"Element OK.",90
1423945,11359,1226724,1191615,OK,OK,NULL,NULL,"Element OK.",90
1423946,11359,1226726,1191616,OK,OK,NULL,NULL,"Element OK.",90
1423947,11359,1226708,1191617,OK,OK,NULL,NULL,"Element OK.",90
1423948,11359,1226706,1191618,OK,OK,NULL,NULL,"Element OK.",90
1423949,11359,1226711,1191619,OK,OK,NULL,NULL,"Element OK.",90
1423950,11359,1226709,1191620,OK,OK,NULL,NULL,"Element OK.",90
1423951,11359,1226710,1191621,OK,OK,NULL,NULL,"Element OK.",90
1423952,11359,1226720,1191622,OK,OK,NULL,NULL,"Element OK.",90
1423953,11359,1226738,1191623,OK,OK,NULL,NULL,"Element OK.",90
1423954,11359,1226921,1191624,OK,OK,NULL,NULL,"Element OK.",93
1423955,11359,1226915,1191625,OK,OK,NULL,NULL,"Element OK.",93
1423956,11359,1226922,1191626,OK,OK,NULL,NULL,"Element OK.",93
1423957,11359,1226927,1191627,OK,OK,NULL,NULL,"Element OK.",93
1423958,11359,1226928,1191628,OK,OK,NULL,NULL,"Element OK.",93
1423959,11359,1226930,1191629,OK,OK,NULL,NULL,"Element OK.",93
1423960,11359,1226917,1191630,OK,OK,NULL,NULL,"Element OK.",93
1423961,11359,1226918,1191631,OK,OK,NULL,NULL,"Element OK.",93
1423962,11359,1226924,1191632,OK,OK,NULL,NULL,"Element OK.",93
1423963,11359,1226929,1191633,OK,OK,NULL,NULL,"Element OK.",93
1423964,11359,1226926,1191634,OK,OK,NULL,NULL,"Element OK.",93
1423965,11359,1226916,1191635,OK,OK,NULL,NULL,"Element OK.",93
1423966,11359,1226925,1191636,OK,OK,NULL,NULL,"Element OK.",93
1423967,11359,1226923,1191637,OK,OK,NULL,NULL,"Element OK.",93
1423968,11359,1226919,1191638,OK,OK,NULL,NULL,"Element OK.",93
1423969,11359,1226914,1191639,OK,OK,NULL,NULL,"Element OK.",93
1423970,11359,1226920,1191640,OK,OK,NULL,NULL,"Element OK.",93
1423971,11359,1226913,1191641,OK,OK,NULL,NULL,"Element OK.",93
1423972,11359,1226948,1191642,OK,OK,NULL,NULL,"Element OK.",94
1423973,11359,1226965,1191643,OK,OK,NULL,NULL,"Element OK.",94
1423974,11359,1226940,1191644,OK,OK,NULL,NULL,"Element OK.",94
1423975,11359,1226943,1191645,OK,OK,NULL,NULL,"Element OK.",94
