id,desktop_inventory_process_result_detail,element_transfer_order,element_transfer_order_detail
2816,873458,52577,190242
2817,873483,52575,190243
2818,873460,52576,190244
2819,873459,52577,190245
2820,873484,52575,190246
2821,873461,52576,190247
2822,873460,52577,190248
2823,873485,52575,190249
2824,873462,52576,190250
2825,873461,52577,190251
2826,873486,52575,190252
2827,873488,52575,190255
2828,873463,52576,190253
2829,873462,52577,190254
2830,873463,52577,190256
2831,873464,52576,190257
2832,873465,52576,190258
2833,873464,52577,190259
2834,873466,52576,190261
2835,873465,52577,190260
2836,873467,52576,190262
2837,873466,52577,190263
2838,873467,52577,190265
2839,873468,52576,190264
2840,873468,52577,190267
2841,873469,52576,190266
2842,873470,52576,190269
2843,873469,52577,190268
2844,873470,52577,190271
2845,873471,52576,190270
2846,873472,52576,190273
2847,873471,52577,190272
2848,873473,52576,190275
2849,873472,52577,190274
2850,873474,52576,190277
2851,873473,52577,190276
2852,873474,52577,190278
2853,873475,52576,190279
2854,873475,52577,190281
2855,873476,52576,190280
2856,873476,52577,190283
2857,873477,52576,190282
2858,873477,52577,190285
2859,873478,52576,190284
2860,873479,52576,190286
2861,873478,52577,190287
2862,873479,52577,190289
2863,873480,52576,190288
2864,873480,52577,190291
2865,873481,52576,190290
2866,873481,52577,190292
2867,873482,52576,190293
2868,873482,52577,190295
2869,873483,52576,190294
2870,873484,52576,190296
2871,873483,52577,190297
2872,873484,52577,190298
2873,873485,52576,190299
2874,873486,52576,190301
2875,873485,52577,190300
2876,873486,52577,190302
2877,873488,52576,190303
2878,873488,52577,190304
2884,1011716,52592,190336
2885,1011718,52592,190337
2886,1011720,52592,190338
2887,1011722,52592,190339
2888,1011724,52592,190340
2889,1011726,52592,190341
2890,1011728,52592,190342
2891,1011730,52592,190343
2892,1011732,52592,190344
2893,1011734,52592,190345
2894,1011736,52592,190346
2895,1011738,52592,190347
2896,1011740,52592,190348
2897,1011744,52592,190349
2898,1011746,52592,190350
2899,1011748,52592,190351
2900,1011750,52592,190352
2901,1011752,52592,190353
2902,1011754,52592,190354
2903,1011756,52592,190355
2904,1011758,52592,190356
2905,1011764,52592,190357
2906,1011766,52592,190358
2907,1011767,52592,190359
2908,1011769,52592,190360
2909,1011775,52592,190361
2910,1011777,52592,190362
2911,1011803,52592,190363
2912,1011805,52592,190364
