id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
233256,2210,292110,225885,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100493 - Res = C01G106770]",NULL,NULL
233258,2210,292112,225883,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, element_type_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100485 - Res = C01G106768], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
233260,2210,292111,225884,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, element_type_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100486 - Res = C01G106769], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
233262,2210,292114,225881,PENDING,DIFFERENCE,"Element with difference: location, serial, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [serial: Elem = C01G064257 - Res = C01G106766], [millicom_code: Elem = C01G100478 - Res = C01G106766]",NULL,NULL
233264,2210,292113,225882,PENDING,DIFFERENCE,"Element with difference: location, serial, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [serial: Elem = C01G064278 - Res = C01G106767], [millicom_code: Elem = C01G100482 - Res = C01G106767]",NULL,NULL
233266,2210,292115,225880,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100480 - Res = C01G106764]",NULL,NULL
233268,2210,292116,225879,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100473 - Res = C01G106763]",NULL,NULL
233270,2210,292117,225877,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100474 - Res = C01G106761]",NULL,NULL
233272,2210,292118,225875,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100471 - Res = C01G106759]",NULL,NULL
233274,2210,292119,225876,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100455 - Res = C01G106760]",NULL,NULL
233276,2210,292120,225874,PENDING,DIFFERENCE,"Element with difference: location, millicom_code","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C01G100469 - Res = C01G106758  ]",NULL,NULL
233383,2210,294341,225922,PENDING,DIFFERENCE,"Element with difference: millicom_code, is_asset, element_type_asset, element_category_asset","[millicom_code: Elem = null - Res = C01G106807], [is_asset: Elem = N - Res = Y], [element_type_asset: Elem = 252 - Res = 19], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233384,2210,294342,225921,PENDING,DIFFERENCE,"Element with difference: millicom_code, is_asset, element_type_asset, element_category_asset","[millicom_code: Elem = null - Res = C01G106806], [is_asset: Elem = N - Res = Y], [element_type_asset: Elem = 252 - Res = 19], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233385,2210,294343,225920,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_category_asset","[millicom_code: Elem = C04G101031 - Res = C01G106805], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233386,2210,294344,225919,PENDING,DIFFERENCE,"Element with difference: serial, millicom_code, element_category_asset","[serial: Elem = C01G064321 - Res = C01G106804], [millicom_code: Elem = C04G101036 - Res = C01G106804], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233387,2210,294345,225917,PENDING,DIFFERENCE,"Element with difference: model, serial, millicom_code, element_type_asset, element_category_asset","[model: Elem = 1003046 - Res = 1003044], [serial: Elem = C01G064317 - Res = C01G106802], [millicom_code: Elem = C04G101034 - Res = C01G106802], [element_type_asset: Elem = 22 - Res = 100], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233388,2210,294346,225918,PENDING,DIFFERENCE,"Element with difference: serial, millicom_code, element_category_asset","[serial: Elem = C01G064320 - Res = C01G106803], [millicom_code: Elem = C04G101035 - Res = C01G106803], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
