id,report,element,quantity
8325,2,259861,1
8326,2,259862,1
8327,2,259863,1
8328,2,259864,1
8329,2,259865,1
8330,2,259866,1
8331,2,259867,1
8332,2,259868,1
8333,2,259869,1
15376,2,108012,2
18905,2,51085,1
18906,2,51101,1
18953,2,68587,1
18960,2,69020,1
18962,2,70122,1
19024,2,74512,1
19030,2,74788,1
19031,2,74797,1
19041,2,76318,1
19047,2,77046,1
19048,2,77052,1
19196,2,2727,1
19197,2,2759,1
19198,2,2763,1
19202,2,6741,1
19203,2,7485,1
19204,2,7565,1
19205,2,7612,1
19209,2,7658,1
19212,2,12195,1
19237,2,44318,1
19239,2,44823,1
19242,2,51164,1
19246,2,51341,1
19247,2,52259,1
19248,2,52260,1
19505,2,5028,1
19513,2,12120,1
19533,2,51584,1
20140,2,198000,1
20148,2,214944,1
20149,2,214945,1
20150,2,214946,1
20154,2,214958,1
20492,2,8373,1
20617,2,28743,1
20618,2,28768,1
20621,2,28863,1
20623,2,29124,1
20624,2,29149,1
20625,2,29168,1
20626,2,29169,1
20627,2,29170,1
20628,2,29203,1
20631,2,29421,1
20632,2,29534,1
20636,2,30036,1
20638,2,31453,1
20641,2,31517,1
20643,2,31572,1
20644,2,31601,1
20646,2,31629,1
20648,2,31660,1
20649,2,31702,1
20650,2,31703,1
20652,2,31775,1
20654,2,31845,1
20660,2,32757,1
20661,2,32761,1
20663,2,32786,1
20664,2,32797,1
20665,2,32800,1
20668,2,32826,1
20669,2,32827,1
20670,2,32828,1
20671,2,32840,1
20678,2,33568,1
20680,2,33935,1
20681,2,34312,1
20683,2,34425,1
20684,2,34426,1
20685,2,34433,1
20686,2,34471,1
20687,2,34479,1
20688,2,34480,1
20689,2,34481,1
20690,2,34818,1
20691,2,34824,1
20692,2,35027,1
20698,2,40602,1
20701,2,41197,1
20702,2,41219,1
20710,2,43341,1
20718,2,44738,1
20719,2,44775,1
20740,2,58366,1
20777,2,75949,1
21115,2,161146,1
21122,2,161645,1
21181,2,177975,1
21292,2,198955,1
21293,2,198956,1
21294,2,198965,1
21815,2,8566,1
22193,2,95819,1
22385,2,131982,1
22386,2,131983,1
22387,2,131984,1
22388,2,131985,1
22559,2,149452,42
22589,2,150189,1
22590,2,150190,1
22591,2,150191,1
22592,2,150192,1
22593,2,150193,1
22594,2,150194,1
22711,2,154638,1
22833,2,167448,2
23092,2,187131,12
23501,2,147710,1
30821,2,162005,1
32270,2,189581,1
32271,2,189582,1
32272,2,189583,1
32273,2,189584,1
32274,2,189585,1
32275,2,189586,1
32276,2,189587,1
32277,2,189588,1
32278,2,189589,1
32279,2,189590,1
32280,2,189591,1
32281,2,189592,1
32282,2,189593,1
32283,2,189594,1
32284,2,189595,1
32285,2,189596,1
32286,2,189597,1
32287,2,189598,1
32288,2,189599,1
32289,2,189600,1
32290,2,189601,1
32291,2,189602,1
32292,2,189603,1
32293,2,189604,1
32294,2,189605,1
32295,2,189606,1
32296,2,189607,1
32297,2,189608,1
32298,2,189609,1
32299,2,189610,1
32300,2,189611,1
32301,2,189612,1
32302,2,189613,1
32303,2,189614,1
32304,2,189615,1
32305,2,189616,1
32306,2,189617,1
32984,2,294131,1
32985,2,294173,1
32989,2,294177,1
33001,2,294333,1
33009,2,294341,1
33013,2,294348,1
33022,2,295825,1
33701,2,308521,1
38011,2,130013,1
41901,3,38979,1
41902,3,38980,1
42135,3,89547,1
42941,3,4895,1
42942,3,4904,1
43032,3,52664,1
43078,3,65293,1
44307,3,269485,1
44680,3,130014,1
44681,3,130015,1
44682,3,130016,1
44683,3,130017,1
45982,3,10,1
46123,3,51533,1
46126,3,54980,1
46127,3,54985,1
48234,3,70219,1
48236,3,82180,1
48237,3,82506,1
48238,3,82507,1
48239,3,82508,1
48240,3,82509,1
48241,3,94018,1
48242,3,94019,1
48243,3,94020,1
48244,3,94021,1
48245,3,95212,4
48246,3,95213,3
48247,3,95214,3
48248,3,95215,3
48249,3,95216,3
48250,3,98694,1
48251,3,95217,3
48252,3,95218,3
48253,3,95889,1
48254,3,97726,1
48255,3,97727,1
48256,3,97728,1
48257,3,97729,1
48258,3,97730,1
48259,3,97731,1
48260,3,97732,1
48261,3,98691,1
48262,3,98692,1
48263,3,98693,1
48264,3,147225,6
48265,3,147226,1
48386,3,134415,1
48470,3,251202,1
48472,3,251204,1
48473,3,251205,1
48474,3,251206,1
48685,3,74227,1
48687,3,74305,1
48689,3,74607,1
48690,3,74618,1
48691,3,74619,1
48692,3,74620,1
48694,3,74633,1
48695,3,74637,1
48698,3,74642,1
48699,3,74643,1
48700,3,74645,1
48703,3,74674,1
48704,3,74687,1
48705,3,74689,1
48706,3,74697,1
48709,3,74710,1
48711,3,75280,1
48712,3,75441,1
48713,3,75476,1
48714,3,75490,1
48715,3,75521,1
48716,3,75523,1
48717,3,75527,1
48718,3,75529,1
48719,3,75681,1
48720,3,75682,1
48721,3,75704,1
48722,3,75705,1
48723,3,75852,1
48724,3,75853,1
48725,3,75855,1
48726,3,75856,1
48728,3,76144,1
48729,3,76149,1
48730,3,76289,1
48841,3,94037,1
49017,3,135199,1
49615,3,68610,1
49872,3,259849,1
49873,3,259850,1
49875,3,259852,1
49876,3,259853,1
49878,3,259855,1
49879,3,259856,1
49880,3,259857,1
49881,3,259858,1
49882,3,259859,1
49883,3,259860,1
49884,3,259861,1
49885,3,259862,1
49886,3,259863,1
49887,3,259864,1
49888,3,259865,1
49889,3,259866,1
49890,3,259867,1
49891,3,259868,1
49892,3,259869,1
56935,3,108012,2
60464,3,51085,1
60465,3,51101,1
60512,3,68587,1
60519,3,69020,1
60521,3,70122,1
60583,3,74512,1
60589,3,74788,1
60590,3,74797,1
60600,3,76318,1
60606,3,77046,1
60607,3,77052,1
60755,3,2727,1
60756,3,2759,1
60757,3,2763,1
60761,3,6741,1
60762,3,7485,1
60763,3,7565,1
60764,3,7612,1
60768,3,7658,1
60771,3,12195,1
60796,3,44318,1
60798,3,44823,1
60801,3,51164,1
60805,3,51341,1
60806,3,52259,1
60807,3,52260,1
61064,3,5028,1
61072,3,12120,1
61092,3,51584,1
61699,3,198000,1
61707,3,214944,1
61708,3,214945,1
61709,3,214946,1
61713,3,214958,1
62051,3,8373,1
62176,3,28743,1
62177,3,28768,1
62180,3,28863,1
62182,3,29124,1
62183,3,29149,1
62184,3,29168,1
62185,3,29169,1
62186,3,29170,1
62187,3,29203,1
62190,3,29421,1
62191,3,29534,1
62195,3,30036,1
62197,3,31453,1
62200,3,31517,1
62202,3,31572,1
62203,3,31601,1
62205,3,31629,1
